TEAM_ID,TEAM_NAME,EFG_PCT,NET_RATING,TS_PCT_RANK,OFF_RATING,Restricted Area_FG_PCT,Mid-Range_FG_PCT,FG3_PCT
1610612737,Atlanta Hawks,0.483,-1.8,17,105.5,0.597,0.379,
1610612738,Boston Celtics,0.522,10.8,5,108.8,0.6,0.428,
1610612766,Charlotte Bobcats,0.492,-4.5,18,103.7,0.582,0.378,
1610612741,Chicago Bulls,0.47,-3.1,29,102.9,0.536,0.402,
1610612739,Cleveland Cavaliers,0.48,-0.6,25,104.8,0.593,0.37,
1610612742,Dallas Mavericks,0.502,4.8,8,109.5,0.604,0.447,
1610612743,Denver Nuggets,0.51,3.4,6,108.9,0.619,0.406,
1610612765,Detroit Pistons,0.495,8.3,15,109.8,0.61,0.42,
1610612744,Golden State Warriors,0.511,1.9,10,110.4,0.613,0.383,
1610612745,Houston Rockets,0.492,4.8,21,105.4,0.589,0.405,
1610612754,Indiana Pacers,0.498,-1.2,13,105.1,0.604,0.382,
1610612746,Los Angeles Clippers,0.465,-7.5,26,99.9,0.589,0.393,
1610612747,Los Angeles Lakers,0.525,7.3,4,111.7,0.626,0.408,
1610612763,Memphis Grizzlies,0.5,-6.3,14,103.9,0.605,0.38,
1610612748,Miami Heat,0.482,-9.4,23,99.4,0.611,0.394,
1610612749,Milwaukee Bucks,0.482,-7.2,22,103.9,0.556,0.413,
1610612750,Minnesota Timberwolves,0.484,-7.3,27,102.7,0.58,0.393,
1610612751,New Jersey Nets,0.481,-5.4,20,102.3,0.559,0.401,
1610612740,New Orleans Hornets,0.512,5.6,11,110.0,0.611,0.409,
1610612752,New York Knicks,0.475,-6.8,28,103.5,0.551,0.396,
1610612753,Orlando Magic,0.537,5.6,2,110.4,0.631,0.39,
1610612755,Philadelphia 76ers,0.482,0.5,24,105.1,0.61,0.382,
1610612756,Phoenix Suns,0.551,5.0,1,112.0,0.666,0.435,
1610612757,Portland Trail Blazers,0.489,-0.8,19,105.9,0.595,0.412,
1610612758,Sacramento Kings,0.503,-2.4,7,106.2,0.593,0.41,
1610612759,San Antonio Spurs,0.504,5.3,12,106.0,0.63,0.407,
1610612760,Seattle SuperSonics,0.467,-8.6,30,99.6,0.583,0.393,
1610612761,Toronto Raptors,0.511,3.3,9,108.9,0.601,0.421,
1610612762,Utah Jazz,0.528,7.2,3,112.1,0.637,0.423,
1610612764,Washington Wizards,0.489,-0.3,16,107.6,0.615,0.38,
