TEAM_ID,TEAM_NAME,EFG_PCT,NET_RATING,TS_PCT_RANK,OFF_RATING,Restricted Area_FG_PCT,Mid-Range_FG_PCT,FG3_PCT
1610612737,Atlanta Hawks,0.464,-10.2,28,98.8,0.571,0.382,
1610612738,Boston Celtics,0.501,0.8,3,105.9,0.598,0.406,
1610612766,Charlotte Bobcats,0.455,-6.2,29,99.8,0.568,0.378,
1610612741,Chicago Bulls,0.471,1.4,25,100.5,0.56,0.386,
1610612739,Cleveland Cavaliers,0.47,0.6,24,105.3,0.596,0.379,
1610612742,Dallas Mavericks,0.492,5.9,5,108.5,0.588,0.41,
1610612743,Denver Nuggets,0.483,2.2,10,104.7,0.619,0.372,
1610612765,Detroit Pistons,0.472,4.3,23,103.9,0.567,0.395,
1610612744,Golden State Warriors,0.475,-2.2,26,103.4,0.599,0.375,
1610612745,Houston Rockets,0.486,4.3,11,104.4,0.585,0.4,
1610612754,Indiana Pacers,0.476,1.0,13,103.7,0.564,0.388,
1610612746,Los Angeles Clippers,0.477,-0.8,15,103.8,0.586,0.402,
1610612747,Los Angeles Lakers,0.485,-3.2,9,106.4,0.559,0.374,
1610612763,Memphis Grizzlies,0.489,2.7,8,104.2,0.574,0.375,
1610612748,Miami Heat,0.524,6.7,2,108.9,0.642,0.41,
1610612749,Milwaukee Bucks,0.475,-3.0,19,105.1,0.551,0.409,
1610612750,Minnesota Timberwolves,0.489,1.6,14,106.6,0.613,0.433,
1610612751,New Jersey Nets,0.463,-1.7,27,99.9,0.533,0.395,
1610612740,New Orleans Hornets,0.446,-7.7,30,98.2,0.534,0.38,
1610612752,New York Knicks,0.485,-2.7,16,104.5,0.58,0.409,
1610612753,Orlando Magic,0.478,-2.3,17,103.4,0.588,0.396,
1610612755,Philadelphia 76ers,0.475,-0.7,18,101.8,0.58,0.369,
1610612756,Phoenix Suns,0.534,7.0,1,112.7,0.634,0.409,
1610612757,Portland Trail Blazers,0.484,-4.3,20,101.9,0.599,0.366,
1610612758,Sacramento Kings,0.496,2.3,6,108.8,0.608,0.409,
1610612759,San Antonio Spurs,0.492,8.3,12,106.1,0.613,0.372,
1610612760,Seattle SuperSonics,0.495,2.3,4,110.3,0.58,0.387,
1610612761,Toronto Raptors,0.492,-1.8,7,105.4,0.556,0.401,
1610612762,Utah Jazz,0.469,-4.4,22,102.9,0.581,0.394,
1610612764,Washington Wizards,0.474,-0.4,21,105.4,0.625,0.378,
