TEAM_ID,TEAM_NAME,EFG_PCT,NET_RATING,TS_PCT_RANK,OFF_RATING,Restricted Area_FG_PCT,Mid-Range_FG_PCT,FG3_PCT
1610612737,Atlanta Hawks,0.471,-5.1,27,102.0,0.564,0.391,
1610612738,Boston Celtics,0.479,-3.5,24,102.3,0.564,0.379,
1610612766,Charlotte Bobcats,0.48,-3.9,26,102.4,0.568,0.397,
1610612741,Chicago Bulls,0.493,5.2,22,104.0,0.564,0.424,
1610612739,Cleveland Cavaliers,0.484,3.8,29,104.4,0.609,0.375,
1610612742,Dallas Mavericks,0.509,7.6,3,109.7,0.598,0.433,
1610612743,Denver Nuggets,0.501,1.7,8,106.7,0.625,0.374,
1610612765,Detroit Pistons,0.488,4.8,21,107.4,0.595,0.413,
1610612744,Golden State Warriors,0.512,-0.3,9,106.2,0.621,0.379,
1610612745,Houston Rockets,0.499,4.9,17,104.7,0.577,0.402,
1610612754,Indiana Pacers,0.474,-2.5,28,101.9,0.571,0.386,
1610612746,Los Angeles Clippers,0.481,-0.4,20,103.8,0.612,0.401,
1610612747,Los Angeles Lakers,0.511,-0.2,5,107.3,0.607,0.416,
1610612763,Memphis Grizzlies,0.504,-5.2,4,105.7,0.586,0.403,
1610612748,Miami Heat,0.506,-1.2,15,103.4,0.633,0.397,
1610612749,Milwaukee Bucks,0.504,-4.3,16,106.0,0.592,0.392,
1610612750,Minnesota Timberwolves,0.49,-4.0,19,102.4,0.599,0.424,
1610612751,New Jersey Nets,0.504,-0.9,10,104.2,0.58,0.408,
1610612740,New Orleans/Oklahoma City Hornets,0.479,-1.6,30,103.7,0.591,0.371,
1610612752,New York Knicks,0.494,-3.1,18,104.3,0.594,0.36,
1610612753,Orlando Magic,0.5,0.8,13,104.1,0.628,0.381,
1610612755,Philadelphia 76ers,0.48,-3.2,25,102.4,0.607,0.395,
1610612756,Phoenix Suns,0.551,7.4,1,112.9,0.665,0.411,
1610612757,Portland Trail Blazers,0.483,-4.8,23,103.8,0.584,0.397,
1610612758,Sacramento Kings,0.491,-1.6,11,105.1,0.593,0.399,
1610612759,San Antonio Spurs,0.521,9.2,2,108.6,0.64,0.401,
1610612760,Seattle SuperSonics,0.499,-3.0,12,105.9,0.609,0.392,
1610612761,Toronto Raptors,0.504,1.2,7,105.7,0.611,0.418,
1610612762,Utah Jazz,0.502,3.0,6,108.6,0.61,0.423,
1610612764,Washington Wizards,0.491,-0.4,14,108.7,0.603,0.394,
