TEAM_ID,TEAM_NAME,EFG_PCT,NET_RATING,TS_PCT_RANK,OFF_RATING,Restricted Area_FG_PCT,Mid-Range_FG_PCT,FG3_PCT
1610612737,Atlanta Hawks,0.512,-5.7,20,104.4,0.608,0.403,0.363
1610612738,Boston Celtics,0.518,3.6,14,106.8,0.592,0.425,0.36
1610612751,Brooklyn Nets,0.514,-3.6,15,106.1,0.617,0.363,0.361
1610612766,Charlotte Hornets,0.508,-0.1,18,109.0,0.612,0.375,0.347
1610612741,Chicago Bulls,0.497,-7.0,29,103.4,0.592,0.379,0.378
1610612739,Cleveland Cavaliers,0.547,1.0,3,112.0,0.685,0.396,0.353
1610612742,Dallas Mavericks,0.513,-2.9,23,105.4,0.623,0.399,0.372
1610612743,Denver Nuggets,0.536,1.4,7,111.4,0.634,0.407,0.368
1610612765,Detroit Pistons,0.512,-0.1,26,106.6,0.619,0.409,0.355
1610612744,Golden State Warriors,0.569,5.9,1,112.8,0.683,0.47,0.358
1610612745,Houston Rockets,0.551,8.4,2,114.1,0.643,0.444,0.363
1610612754,Indiana Pacers,0.525,1.3,13,108.5,0.622,0.426,0.356
1610612746,LA Clippers,0.527,0.2,10,109.4,0.63,0.389,0.392
1610612747,Los Angeles Lakers,0.517,-1.3,19,106.0,0.638,0.368,0.337
1610612763,Memphis Grizzlies,0.5,-6.8,27,103.6,0.597,0.393,0.378
1610612748,Miami Heat,0.52,0.4,16,106.2,0.635,0.371,0.371
1610612749,Milwaukee Bucks,0.531,-0.2,6,109.0,0.645,0.423,0.371
1610612750,Minnesota Timberwolves,0.523,2.3,9,112.5,0.659,0.403,0.376
1610612740,New Orleans Pelicans,0.541,1.1,5,108.5,0.65,0.407,0.371
1610612752,New York Knicks,0.51,-3.4,24,106.3,0.626,0.403,0.378
1610612760,Oklahoma City Thunder,0.514,3.7,21,110.1,0.617,0.383,0.356
1610612753,Orlando Magic,0.512,-4.7,22,104.7,0.656,0.382,0.365
1610612755,Philadelphia 76ers,0.535,4.6,8,108.5,0.672,0.415,0.363
1610612756,Phoenix Suns,0.495,-9.0,28,102.8,0.601,0.386,0.36
1610612757,Portland Trail Blazers,0.511,2.7,17,108.4,0.581,0.422,0.363
1610612758,Sacramento Kings,0.502,-7.3,30,103.1,0.619,0.395,0.357
1610612759,San Antonio Spurs,0.507,3.0,25,107.1,0.638,0.408,0.367
1610612761,Toronto Raptors,0.539,7.7,4,113.0,0.65,0.416,0.377
1610612762,Utah Jazz,0.527,4.4,11,107.4,0.644,0.395,0.356
1610612764,Washington Wizards,0.525,0.4,12,108.1,0.639,0.419,0.355
