TEAM_ID,TEAM_NAME,EFG_PCT,NET_RATING,TS_PCT_RANK,OFF_RATING,Restricted Area_FG_PCT,Mid-Range_FG_PCT,FG3_PCT
1610612737,Atlanta Hawks,0.515,-7.4,23,107.0,0.641,0.384,0.376
1610612738,Boston Celtics,0.531,6.3,13,112.8,0.624,0.426,0.347
1610612751,Brooklyn Nets,0.52,-0.5,22,108.7,0.619,0.367,0.366
1610612766,Charlotte Hornets,0.504,-7.0,29,105.9,0.592,0.32,0.356
1610612741,Chicago Bulls,0.515,-3.1,26,105.8,0.602,0.351,0.369
1610612739,Cleveland Cavaliers,0.522,-7.9,24,106.9,0.607,0.412,0.345
1610612742,Dallas Mavericks,0.545,4.8,4,115.9,0.674,0.414,0.343
1610612743,Denver Nuggets,0.535,2.2,15,112.6,0.654,0.442,0.359
1610612765,Detroit Pistons,0.529,-3.5,20,108.8,0.627,0.395,0.343
1610612744,Golden State Warriors,0.497,-8.6,28,104.4,0.626,0.398,0.369
1610612745,Houston Rockets,0.537,2.7,5,112.5,0.641,0.405,0.364
1610612754,Indiana Pacers,0.534,1.9,18,109.5,0.626,0.421,0.363
1610612746,LA Clippers,0.535,6.3,6,113.3,0.636,0.395,0.37
1610612747,Los Angeles Lakers,0.542,5.6,9,111.7,0.69,0.368,0.368
1610612763,Memphis Grizzlies,0.528,-1.0,21,108.7,0.641,0.388,0.361
1610612748,Miami Heat,0.547,2.7,1,111.9,0.669,0.367,0.349
1610612749,Milwaukee Bucks,0.552,9.4,3,111.9,0.675,0.464,0.365
1610612750,Minnesota Timberwolves,0.514,-4.0,25,107.6,0.622,0.382,0.378
1610612740,New Orleans Pelicans,0.539,-1.3,14,110.5,0.635,0.384,0.373
1610612752,New York Knicks,0.501,-6.5,30,105.9,0.607,0.384,0.355
1610612760,Oklahoma City Thunder,0.53,2.1,10,110.1,0.641,0.469,0.38
1610612753,Orlando Magic,0.506,-1.3,27,107.9,0.632,0.374,0.333
1610612755,Philadelphia 76ers,0.534,2.3,16,110.7,0.651,0.399,0.379
1610612756,Phoenix Suns,0.532,0.5,7,111.3,0.637,0.417,0.337
1610612757,Portland Trail Blazers,0.533,-1.1,12,113.2,0.604,0.434,0.336
1610612758,Sacramento Kings,0.534,-1.9,17,109.5,0.642,0.413,0.348
1610612759,San Antonio Spurs,0.531,-0.9,11,111.7,0.643,0.442,0.351
1610612761,Toronto Raptors,0.536,6.1,8,110.8,0.611,0.358,0.334
1610612762,Utah Jazz,0.549,2.5,2,111.8,0.653,0.419,0.367
1610612764,Washington Wizards,0.523,-4.5,19,110.2,0.643,0.398,0.352
