TEAM_ID,TEAM_NAME,EFG_PCT,NET_RATING,TS_PCT_RANK,OFF_RATING,Restricted Area_FG_PCT,Mid-Range_FG_PCT,FG3_PCT
1610612737,Atlanta Hawks,0.516,3.9,8,104.6,0.603,0.419,0.417
1610612738,Boston Celtics,0.488,3.3,21,105.8,0.602,0.37,0.336
1610612751,Brooklyn Nets,0.492,-7.4,23,102.4,0.59,0.388,0.347
1610612766,Charlotte Hornets,0.502,2.7,12,106.4,0.58,0.392,0.35
1610612741,Chicago Bulls,0.487,-1.4,26,104.1,0.556,0.402,0.374
1610612739,Cleveland Cavaliers,0.524,6.3,4,110.2,0.637,0.416,0.36
1610612742,Dallas Mavericks,0.502,-0.4,14,105.5,0.621,0.403,0.354
1610612743,Denver Nuggets,0.489,-3.3,22,104.9,0.569,0.383,0.362
1610612765,Detroit Pistons,0.491,0.3,28,105.3,0.588,0.398,0.372
1610612744,Golden State Warriors,0.563,10.6,1,113.5,0.636,0.434,0.352
1610612745,Houston Rockets,0.516,0.0,6,107.3,0.612,0.379,0.361
1610612754,Indiana Pacers,0.497,1.6,19,103.8,0.619,0.38,0.351
1610612746,LA Clippers,0.524,4.5,5,107.2,0.652,0.418,0.347
1610612747,Los Angeles Lakers,0.46,-9.7,30,100.7,0.563,0.365,0.346
1610612763,Memphis Grizzlies,0.477,-2.4,27,104.7,0.564,0.406,0.365
1610612748,Miami Heat,0.508,1.7,13,105.5,0.653,0.403,0.352
1610612749,Milwaukee Bucks,0.499,-4.5,17,103.4,0.601,0.382,0.366
1610612750,Minnesota Timberwolves,0.498,-3.5,9,105.4,0.637,0.385,0.32
1610612740,New Orleans Pelicans,0.498,-3.7,18,104.8,0.578,0.412,0.355
1610612752,New York Knicks,0.483,-2.8,24,103.9,0.572,0.415,0.34
1610612760,Oklahoma City Thunder,0.524,7.4,2,112.1,0.607,0.436,0.378
1610612753,Orlando Magic,0.5,-1.6,20,104.4,0.6,0.41,0.365
1610612755,Philadelphia 76ers,0.487,-10.2,29,98.4,0.592,0.358,0.348
1610612756,Phoenix Suns,0.487,-6.5,25,101.5,0.587,0.369,0.341
1610612757,Portland Trail Blazers,0.511,0.8,10,107.6,0.578,0.423,0.333
1610612758,Sacramento Kings,0.51,-2.3,11,105.3,0.626,0.397,0.339
1610612759,San Antonio Spurs,0.526,11.1,3,109.3,0.65,0.425,0.348
1610612761,Toronto Raptors,0.504,4.4,7,109.3,0.595,0.377,0.34
1610612762,Utah Jazz,0.501,1.8,16,105.0,0.602,0.387,0.356
1610612764,Washington Wizards,0.511,-0.5,15,104.5,0.622,0.403,0.374
