TEAM_ID,TEAM_NAME,EFG_PCT,NET_RATING,TS_PCT_RANK,OFF_RATING,Restricted Area_FG_PCT,Mid-Range_FG_PCT,FG3_PCT
1610612737,Atlanta Hawks,0.501,-0.7,14,105.1,0.624,0.421,
1610612738,Boston Celtics,0.519,5.7,5,105.5,0.643,0.423,
1610612766,Charlotte Bobcats,0.482,-4.2,24,102.8,0.585,0.398,
1610612741,Chicago Bulls,0.501,7.8,15,107.2,0.61,0.395,
1610612739,Cleveland Cavaliers,0.472,-9.5,27,101.5,0.589,0.373,
1610612742,Dallas Mavericks,0.525,4.4,4,108.4,0.658,0.45,
1610612743,Denver Nuggets,0.526,4.9,1,111.7,0.604,0.399,
1610612765,Detroit Pistons,0.495,-3.7,22,107.0,0.616,0.394,
1610612744,Golden State Warriors,0.51,-2.3,12,107.1,0.627,0.398,
1610612745,Houston Rockets,0.503,2.3,10,110.2,0.612,0.406,
1610612754,Indiana Pacers,0.486,-0.9,23,104.1,0.6,0.396,
1610612746,Los Angeles Clippers,0.496,-3.2,17,104.8,0.629,0.37,
1610612747,Los Angeles Lakers,0.502,6.3,11,109.6,0.637,0.392,
1610612763,Memphis Grizzlies,0.493,2.5,19,107.0,0.628,0.389,
1610612748,Miami Heat,0.524,7.8,2,110.6,0.674,0.423,
1610612749,Milwaukee Bucks,0.467,-0.8,30,100.8,0.564,0.391,
1610612750,Minnesota Timberwolves,0.483,-6.7,25,103.2,0.587,0.393,
1610612751,New Jersey Nets,0.474,-6.8,28,102.1,0.583,0.389,
1610612740,New Orleans Hornets,0.493,1.0,16,105.4,0.613,0.425,
1610612752,New York Knicks,0.513,1.0,6,109.9,0.625,0.402,
1610612760,Oklahoma City Thunder,0.501,3.9,7,109.9,0.652,0.394,
1610612753,Orlando Magic,0.521,5.6,9,107.4,0.643,0.41,
1610612755,Philadelphia 76ers,0.494,1.5,18,105.3,0.636,0.412,
1610612756,Phoenix Suns,0.522,-0.8,8,108.6,0.665,0.402,
1610612757,Portland Trail Blazers,0.486,1.6,20,107.3,0.619,0.375,
1610612758,Sacramento Kings,0.48,-5.5,26,102.9,0.625,0.383,
1610612759,San Antonio Spurs,0.527,6.1,3,110.5,0.632,0.409,
1610612761,Toronto Raptors,0.491,-6.5,21,105.2,0.604,0.409,
1610612762,Utah Jazz,0.498,-1.8,13,107.0,0.624,0.406,
1610612764,Washington Wizards,0.471,-7.8,29,101.3,0.605,0.381,
