TEAM_ID,TEAM_NAME,EFG_PCT,NET_RATING,TS_PCT_RANK,OFF_RATING,Restricted Area_FG_PCT,Mid-Range_FG_PCT,FG3_PCT
1610612737,Atlanta Hawks,0.522,-5.5,17,107.5,0.611,0.363,0.378
1610612738,Boston Celtics,0.534,4.3,10,111.3,0.644,0.423,0.348
1610612751,Brooklyn Nets,0.52,-0.1,15,108.9,0.612,0.388,0.344
1610612766,Charlotte Hornets,0.514,-1.3,19,110.7,0.594,0.406,0.352
1610612741,Chicago Bulls,0.505,-8.3,28,104.5,0.6,0.371,0.351
1610612739,Cleveland Cavaliers,0.503,-10.0,29,106.8,0.597,0.405,0.352
1610612742,Dallas Mavericks,0.519,-1.5,16,108.7,0.65,0.379,0.365
1610612743,Denver Nuggets,0.527,4.0,14,112.1,0.633,0.411,0.333
1610612765,Detroit Pistons,0.509,-0.3,26,108.4,0.607,0.402,0.359
1610612744,Golden State Warriors,0.565,6.5,1,115.0,0.678,0.469,0.351
1610612745,Houston Rockets,0.542,4.8,3,114.9,0.638,0.432,0.351
1610612754,Indiana Pacers,0.53,3.4,13,109.4,0.624,0.403,0.353
1610612746,LA Clippers,0.529,1.0,5,111.4,0.606,0.401,0.366
1610612747,Los Angeles Lakers,0.527,-1.6,18,107.4,0.646,0.398,0.383
1610612763,Memphis Grizzlies,0.508,-2.4,24,105.6,0.619,0.395,0.392
1610612748,Miami Heat,0.515,-0.4,27,106.7,0.626,0.353,0.348
1610612749,Milwaukee Bucks,0.55,8.6,2,113.5,0.662,0.386,0.341
1610612750,Minnesota Timberwolves,0.511,-1.6,22,110.6,0.629,0.397,0.349
1610612740,New Orleans Pelicans,0.529,-1.3,12,110.7,0.647,0.374,0.388
1610612752,New York Knicks,0.49,-8.9,30,104.0,0.579,0.378,0.329
1610612760,Oklahoma City Thunder,0.514,3.4,25,109.8,0.618,0.38,0.356
1610612753,Orlando Magic,0.518,0.6,23,108.2,0.639,0.402,0.359
1610612755,Philadelphia 76ers,0.532,2.6,6,111.6,0.659,0.4,0.374
1610612756,Phoenix Suns,0.514,-8.9,21,105.3,0.632,0.403,0.355
1610612757,Portland Trail Blazers,0.528,4.2,9,113.7,0.604,0.436,0.34
1610612758,Sacramento Kings,0.524,-1.2,20,109.6,0.63,0.391,0.349
1610612759,San Antonio Spurs,0.534,1.6,8,112.2,0.652,0.433,0.339
1610612761,Toronto Raptors,0.543,5.8,4,112.6,0.639,0.435,0.356
1610612762,Utah Jazz,0.538,5.0,7,110.3,0.651,0.387,0.356
1610612764,Washington Wizards,0.531,-2.7,11,110.2,0.666,0.399,0.342
